frame.number,frame.time_relative,_ws.col.Protocol,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
"250","16.300242000","TCP","6","35.173.87.46","192.168.68.126","443","55903",,
"251","16.300243000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55903",,
"252","16.300338000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"253","16.300338000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"254","16.300338000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"255","16.300377000","TCP","6","192.168.68.126","35.173.87.46","55903","443",,
"256","16.307516000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"257","16.307519000","TLSv1.3","6","162.159.128.232","192.168.68.126","443","55898",,
"258","16.307520000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"259","16.307521000","TLSv1.3","6","162.159.128.232","192.168.68.126","443","55898",,
"260","16.307522000","TCP","6","35.173.87.46","192.168.68.126","443","55904",,
"261","16.307522000","TCP","6","35.173.87.46","192.168.68.126","443","55905",,
"262","16.307523000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55904",,
"263","16.307523000","TCP","6","35.173.87.46","192.168.68.126","443","55904",,
"264","16.307524000","TCP","6","35.173.87.46","192.168.68.126","443","55904",,
"265","16.307525000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55905",,
"266","16.307526000","TCP","6","35.173.87.46","192.168.68.126","443","55905",,
"267","16.307526000","TCP","6","35.173.87.46","192.168.68.126","443","55905",,
"268","16.307527000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55904",,
"269","16.307528000","TLSv1.2","6","35.173.87.46","192.168.68.126","443","55905",,
"270","16.307529000","TCP","6","162.159.128.232","192.168.68.126","443","55898",,
"271","16.307585000","TCP","6","192.168.68.126","162.159.128.232","55898","443",,
"272","16.307586000","TCP","6","192.168.68.126","162.159.128.232","55898","443",,
"273","16.307607000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"274","16.307607000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"275","16.307607000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"276","16.307613000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"277","16.307614000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"278","16.307621000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"279","16.307672000","TCP","6","192.168.68.126","35.173.87.46","55904","443",,
"280","16.307749000","TLSv1.3","6","192.168.68.126","162.159.128.232","55898","443",,
"281","16.307921000","TCP","6","192.168.68.126","35.173.87.46","55905","443",,
"282","16.310689000","TLSv1.2","6","192.168.68.126","35.173.87.46","55903","443",,
"283","16.317493000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"284","16.317497000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"285","16.317498000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
"286","16.317499000","TCP","6","162.159.133.232","192.168.68.126","443","55899",,
